mode,workload,seed,tx,rx,drops,max_queue
0,1,4,0,0,0,0
0,2,4,0,0,0,0
0,3,4,0,0,0,0
0,4,4,0,0,0,0
0,5,4,0,0,0,0
1,1,4,0,0,0,0
1,2,4,0,0,0,0
1,3,4,0,0,0,0
1,4,4,0,0,0,0
1,5,4,0,0,0,0
2,1,4,0,0,0,0
2,2,4,0,0,0,0
2,3,4,0,0,0,0
2,4,4,0,0,0,0
2,5,4,0,0,0,0
3,1,4,2957974,2957974,0,301
3,2,4,3951323,3951323,0,401
3,3,4,10904766,10904766,0,1101
3,4,4,3924852,3924852,0,101
3,5,4,2214624,2214624,0,301
4,1,4,2957974,2957974,0,301
4,2,4,3951323,3951323,0,401
4,3,4,10904766,10904766,0,1101
4,4,4,3924852,3924852,0,101
4,5,4,2214624,2214624,0,301
5,1,4,2957974,2957974,0,301
5,2,4,3951323,3951323,0,401
